Feature,Importance
thalach,0.15374794620299653
trestbps,0.1359887005371339
age,0.1337750666110344
oldpeak,0.13329154518239428
chol,0.1298397206221193
ca,0.06535551345722286
cp,0.047285401785378
slope,0.04358557664258383
restecg,0.04120916309869105
thal,0.0358265381108987
sex,0.029704416837844933
exang,0.027210338089601008
fbs,0.02318007282210104
